25_year_interval,county,TMAX,TMIN
1950-1974,Accomack County,86.0,57.0
1950-1974,Albemarle County,153.0,207.0
1950-1974,Alexandria city,167.0,135.0
1950-1974,Alleghany County,42.0,234.0
1950-1974,Amelia County,246.0,150.0
1950-1974,Amherst County,114.0,189.0
1950-1974,Appomattox County,154.0,170.0
1950-1974,Arlington County,157.0,139.0
1950-1974,Augusta County,47.0,221.0
1950-1974,Bath County,26.0,241.0
1950-1974,Bedford County,133.0,161.0
1950-1974,Bland County,7.0,222.0
1950-1974,Botetourt County,103.0,196.0
1950-1974,Bristol city,70.0,185.0
1950-1974,Brunswick County,229.0,119.0
1950-1974,Buchanan County,27.0,218.0
1950-1974,Buckingham County,205.0,177.0
1950-1974,Buena Vista city,145.0,197.0
1950-1974,Campbell County,135.0,181.0
1950-1974,Caroline County,230.0,183.0
1950-1974,Carroll County,17.0,195.0
1950-1974,Charles City County,208.0,72.0
1950-1974,Charlotte County,184.0,151.0
1950-1974,Charlottesville city,190.0,196.0
1950-1974,Chesapeake city,191.0,50.0
1950-1974,Chesterfield County,234.0,120.0
1950-1974,Clarke County,125.0,209.0
1950-1974,Colonial Heights city,238.0,77.0
1950-1974,Covington city,117.0,196.0
1950-1974,Craig County,35.0,231.0
1950-1974,Culpeper County,189.0,190.0
1950-1974,Cumberland County,217.0,160.0
1950-1974,Danville city,224.0,114.0
1950-1974,Dickenson County,30.0,197.0
1950-1974,Dinwiddie County,260.0,123.0
1950-1974,Emporia city,211.0,109.0
1950-1974,Essex County,230.0,131.0
1950-1974,Fairfax County,142.0,159.0
1950-1974,Fairfax city,100.0,160.0
1950-1974,Falls Church city,123.0,140.0
1950-1974,Fauquier County,123.0,194.0
1950-1974,Floyd County,5.0,232.0
1950-1974,Fluvanna County,229.0,185.0
1950-1974,Franklin County,124.0,173.0
1950-1974,Franklin city,242.0,85.0
1950-1974,Frederick County,110.0,220.0
1950-1974,Fredericksburg city,206.0,190.0
1950-1974,Galax city,17.0,207.0
1950-1974,Giles County,15.0,248.0
1950-1974,Gloucester County,202.0,66.0
1950-1974,Goochland County,244.0,177.0
1950-1974,Grayson County,3.0,212.0
1950-1974,Greene County,98.0,216.0
1950-1974,Greensville County,279.0,116.0
1950-1974,Halifax County,187.0,128.0
1950-1974,Hampton city,197.0,28.0
1950-1974,Hanover County,252.0,159.0
1950-1974,Harrisonburg city,94.0,233.0
1950-1974,Henrico County,257.0,119.0
1950-1974,Henry County,164.0,138.0
1950-1974,Highland County,3.0,253.0
1950-1974,Hopewell city,226.0,57.0
1950-1974,Isle of Wight County,230.0,55.0
1950-1974,James City County,223.0,61.0
1950-1974,King George County,202.0,135.0
1950-1974,King William County,259.0,137.0
1950-1974,King and Queen County,258.0,130.0
1950-1974,Lancaster County,211.0,78.0
1950-1974,Lee County,59.0,180.0
1950-1974,Loudoun County,136.0,184.0
1950-1974,Louisa County,228.0,203.0
1950-1974,Lunenburg County,228.0,152.0
1950-1974,Lynchburg city,142.0,175.0
1950-1974,Madison County,96.0,242.0
1950-1974,Manassas Park city,135.0,172.0
1950-1974,Manassas city,149.0,196.0
1950-1974,Martinsville city,187.0,137.0
1950-1974,Mathews County,171.0,57.0
