year,county,heat wave count,cold wave count
1951,Albemarle County,6,8
1951,Alexandria city,4,4
1951,Alleghany County,1,9
1951,Amelia County,12,6
1951,Amherst County,2,5
1951,Appomattox County,5,7
1951,Arlington County,5,7
1951,Bedford County,6,5
1951,Botetourt County,3,8
1951,Bristol city,1,8
1951,Brunswick County,10,2
1951,Buckingham County,6,6
1951,Buena Vista city,5,9
1951,Campbell County,7,6
1951,Caroline County,7,7
1951,Charles City County,8,1
1951,Charlotte County,8,5
1951,Charlottesville city,5,8
1951,Chesapeake city,7,0
1951,Chesterfield County,17,4
1951,Clarke County,1,12
1951,Colonial Heights city,14,2
1951,Covington city,5,6
1951,Craig County,1,8
1951,Culpeper County,5,7
1951,Cumberland County,6,7
1951,Danville city,12,3
1951,Dinwiddie County,11,4
1951,Emporia city,13,5
1951,Essex County,6,3
1951,Fairfax County,4,9
1951,Fairfax city,1,4
1951,Falls Church city,3,4
1951,Fauquier County,2,5
1951,Fluvanna County,10,8
1951,Franklin County,5,5
1951,Franklin city,8,1
1951,Frederick County,1,9
1951,Fredericksburg city,10,5
1951,Gloucester County,6,2
1951,Goochland County,14,7
1951,Greene County,1,7
1951,Greensville County,20,5
1951,Halifax County,8,8
1951,Hampton city,11,0
1951,Hanover County,8,6
1951,Harrisonburg city,3,8
1951,Henrico County,9,3
1951,Henry County,12,4
1951,Hopewell city,11,1
1951,Isle of Wight County,5,0
1951,James City County,10,0
1951,King George County,8,3
1951,King William County,9,6
1951,King and Queen County,9,4
1951,Lancaster County,7,1
1951,Loudoun County,3,5
1951,Louisa County,12,10
1951,Lunenburg County,15,9
1951,Lynchburg city,4,8
1951,Madison County,2,7
1951,Manassas Park city,1,5
1951,Manassas city,2,5
1951,Martinsville city,8,4
1951,Mathews County,5,1
1951,Mecklenburg County,14,5
1951,Middlesex County,9,3
1951,Montgomery County,1,9
1951,Nelson County,1,8
1951,New Kent County,8,2
1951,Newport News city,12,0
1951,Norfolk city,6,0
1951,Northampton County,5,0
1951,Northumberland County,6,3
1951,Nottoway County,8,6
1951,Orange County,7,6
1951,Page County,1,8
1951,Patrick County,3,9
1951,Petersburg city,14,2
1951,Pittsylvania County,6,5
1951,Poquoson city,8,0
1951,Portsmouth city,9,0
1951,Powhatan County,7,8
1951,Prince Edward County,8,7
1951,Prince George County,8,1
1951,Prince William County,3,7
1951,Radford city,2,6
1951,Rappahannock County,1,9
1951,Richmond County,9,3
1951,Richmond city,14,7
1951,Roanoke County,1,8
1951,Roanoke city,10,5
1951,Rockbridge County,3,6
1951,Rockingham County,1,12
1951,Salem city,10,8
1951,Shenandoah County,2,6
1951,Southampton County,12,2
1951,Spotsylvania County,7,6
1951,Stafford County,6,6
1951,Staunton city,4,10
1951,Suffolk city,14,1
1951,Surry County,8,1
1951,Sussex County,14,3
1951,Virginia Beach city,7,0
1951,Warren County,2,10
1951,Waynesboro city,2,7
1951,Westmoreland County,8,2
1951,Williamsburg city,8,0
1951,Winchester city,1,8
1951,York County,9,0
1952,Accomack County,11,0
1952,Albemarle County,14,2
1952,Alexandria city,17,2
1952,Alleghany County,12,2
1952,Amelia County,18,2
1952,Amherst County,17,2
1952,Appomattox County,17,2
1952,Arlington County,15,1
1952,Augusta County,7,3
1952,Bath County,7,1
1952,Bedford County,16,1
1952,Bland County,2,3
1952,Botetourt County,15,2
1952,Bristol city,17,2
1952,Brunswick County,25,1
1952,Buchanan County,6,2
1952,Buckingham County,22,1
1952,Buena Vista city,17,3
1952,Campbell County,15,3
1952,Caroline County,21,2
1952,Carroll County,10,1
